Unnamed: 0;CODGEO;LIBGEO;DEP;SUPERF;MED16;Geo_Shape;geo_point_2d;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
33;92032;Fontenay-aux-Roses;92;2.51;24922.8125;"{""type"": ""Polygon"", ""coordinates"": [[[2.2819845943, 48.7831639645], [2.2819049065, 48.78321835], [2.2756117782, 48.785945169], [2.2738478656, 48.7868203866], [2.2722826233, 48.7889640618], [2.2719874197, 48.7897321612], [2.2717219006, 48.7905184286], [2.2720853892, 48.7907104191], [2.2723196815, 48.7907963907], [2.2726266652, 48.7908432302], [2.2729888959, 48.7908328427], [2.2729712793, 48.7910225113], [2.2728155544, 48.7916475541], [2.2721929313, 48.7941252364], [2.2727817292, 48.794367164], [2.27388761, 48.7948208942], [2.2761711757, 48.7957575388], [2.2774646266, 48.7957455785], [2.2829989655, 48.795614317], [2.2871462263, 48.7955707707], [2.2918095344, 48.7959204816], [2.2922240554, 48.795971505], [2.2934534806, 48.7959625901], [2.2961626005, 48.7957591201], [2.2983159175, 48.794468543], [2.2988939997, 48.7922755838], [2.3013882319, 48.788178991], [2.3030039225, 48.7856313984], [2.3031719076, 48.7854866732], [2.3033091819, 48.7853993312], [2.2929563713, 48.7841261099], [2.2926982076, 48.7840940018], [2.2913598782, 48.7838243423], [2.291443788, 48.783558613], [2.2900747501, 48.783146649], [2.2880077157, 48.7826216824], [2.2874711067, 48.7825492285], [2.2864337641, 48.7824683863], [2.2862663249, 48.7824709839], [2.2856523773, 48.7824808062], [2.2849107817, 48.7825690101], [2.2843641127, 48.7826349922], [2.2822480789, 48.7831052866], [2.2819845943, 48.7831639645]]]}";48.7896635904,2.28679609541;2;Supermarket;Park;Italian Restaurant;Japanese Restaurant;Gas Station;Pizza Place;Train Station;Café;Pool;French Restaurant
34;92033;Garches;92;2.69;33548.5714286;"{""type"": ""Polygon"", ""coordinates"": [[[2.1978610547, 48.8547623243], [2.1992935678, 48.8541351657], [2.2012813232, 48.8517804101], [2.2012514987, 48.8491918188], [2.1964221479, 48.8427226453], [2.1938597835, 48.8405648815], [2.1881601117, 48.8383894028], [2.1872152945, 48.8377300342], [2.1865912739, 48.8382546299], [2.1770306999, 48.8381721461], [2.1669880058, 48.8377374789], [2.1666241524, 48.8377421395], [2.1666802626, 48.8378117832], [2.1790201156, 48.8441280337], [2.1818108083, 48.8482060438], [2.1823018571, 48.8502608755], [2.182612611, 48.8515616945], [2.1845152348, 48.851641231], [2.1886052771, 48.8521537991], [2.1930147894, 48.8549231026], [2.1952775161, 48.8556101699], [2.1978610547, 48.8547623243]]]}";48.8456238029,2.18800429561;2;French Restaurant;Park;Italian Restaurant;Plaza;Bakery;Supermarket;Gas Station;Japanese Restaurant;Hotel;Bus Stop
35;92035;La Garenne-Colombes;92;1.78;29454.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.2290994842, 48.9060270323], [2.2324360808, 48.9068830316], [2.2348784374, 48.9076037256], [2.2403069275, 48.9096599485], [2.2467978682, 48.9117738648], [2.2498359039, 48.9126580699], [2.2513806303, 48.9130229626], [2.2530450027, 48.9133238305], [2.2554615453, 48.9136005741], [2.2561367024, 48.9136173587], [2.257411925, 48.9135587209], [2.2579354969, 48.9134891207], [2.2578703511, 48.9128906732], [2.2573569026, 48.9109125946], [2.2576333484, 48.9086534247], [2.258215792, 48.9060768864], [2.2557825399, 48.9053702152], [2.2443650003, 48.9026691089], [2.2425887372, 48.9027721036], [2.2395053973, 48.9022354536], [2.2322993717, 48.9007973237], [2.2316290145, 48.9006518304], [2.2318975767, 48.9009404385], [2.2290994842, 48.9060270323]]]}";48.9070545951,2.24498168132;2;Hotel;French Restaurant;Japanese Restaurant;Supermarket;Plaza;Pizza Place;Bakery;Burger Joint;Train Station;Stadium
36;92036;Gennevilliers;92;11.64;16716.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.273039347, 48.9338376499], [2.2723943959, 48.9340819416], [2.2592904456, 48.9366842694], [2.255916261, 48.9371471897], [2.2522238406, 48.9360036873], [2.248401262, 48.9338655287], [2.2475913259, 48.9367319023], [2.2529402724, 48.939154787], [2.2577589449, 48.9418448286], [2.2589773388, 48.942565504], [2.2608311454, 48.9434393683], [2.2687285426, 48.946575058], [2.2816987041, 48.9497524042], [2.2849730254, 48.9503385247], [2.2883099549, 48.9507450707], [2.2909694896, 48.9509658647], [2.2916233849, 48.9507754857], [2.2969887802, 48.950521097], [2.3000650416, 48.9504185931], [2.3019802502, 48.9501464864], [2.3073102492, 48.9489525829], [2.3116681012, 48.9479489077], [2.3113045159, 48.9469486183], [2.3123276218, 48.9422647327], [2.3146150569, 48.9383740333], [2.3181016517, 48.9370063188], [2.3196536285, 48.9357597314], [2.3206859208, 48.9347925555], [2.322158123, 48.9328494303], [2.3232209627, 48.9281620252], [2.3269089016, 48.9238194091], [2.3284496728, 48.9227596873], [2.3282052284, 48.9225613705], [2.3226689933, 48.9191910968], [2.3223956879, 48.9190114895], [2.3220153127, 48.9186711997], [2.3201734378, 48.9196940619], [2.3177488401, 48.9208178975], [2.3146906078, 48.9199982666], [2.3102595465, 48.9184701032], [2.3050407622, 48.9163778367], [2.3008304863, 48.9147094052], [2.2957288031, 48.9162191389], [2.2918580917, 48.9178960138], [2.2902810564, 48.9188687251], [2.2869198293, 48.9216779821], [2.2859480937, 48.9226803147], [2.2845330532, 48.9261449789], [2.2843703358, 48.9302358183], [2.2836702156, 48.9311237381], [2.2826378918, 48.9321472576], [2.2811132963, 48.9330347198], [2.2776314455, 48.933517389], [2.2768883334, 48.9335587717], [2.2757009316, 48.9335507022], [2.2731806428, 48.933787247], [2.273039347, 48.9338376499]]]}";48.9346127594,2.29454165621;1;Supermarket;Park;Shopping Mall;Bakery;Japanese Restaurant;Hotel;Fast Food Restaurant;Pool;Creperie;Ice Cream Shop
37;92040;Issy-les-Moulineaux;92;4.25;30422.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.2627915245, 48.8339233735], [2.2631735493, 48.8339796903], [2.2694351662, 48.8327958456], [2.2672119122, 48.8315321076], [2.2672540789, 48.831052097], [2.2675277896, 48.8279572033], [2.2675438111, 48.8277864187], [2.2727931902, 48.8279200842], [2.2754233207, 48.8295072674], [2.2790519307, 48.8324899521], [2.2835858272, 48.8307957862], [2.2893937777, 48.8283526461], [2.2877213523, 48.828226677], [2.2843612381, 48.8275006034], [2.2830752779, 48.8271088653], [2.2811571085, 48.826236642], [2.280464041, 48.8259212875], [2.2804313689, 48.8254264302], [2.2810505393, 48.8231978827], [2.2786541423, 48.8184113022], [2.2729562708, 48.8149564075], [2.2725609365, 48.8143990775], [2.2672810145, 48.8140160726], [2.2575775062, 48.8161525309], [2.2532303964, 48.8165301859], [2.2518651077, 48.8163867418], [2.2517342484, 48.8163949169], [2.2413665564, 48.8197355865], [2.2367084036, 48.8213284449], [2.2361072489, 48.8215485544], [2.236591792, 48.8214787982], [2.2373777288, 48.8214757187], [2.2395763057, 48.8218314888], [2.2486736322, 48.8244594475], [2.250500485, 48.8251040798], [2.2516939544, 48.8257510176], [2.2609949551, 48.8320712572], [2.2627915245, 48.8339233735]]]}";48.8231210367,2.26445901321;0;French Restaurant;Japanese Restaurant;Supermarket;Hotel;Bistro;Gym / Fitness Center;Park;Pizza Place;Bakery;Italian Restaurant
38;92044;Levallois-Perret;92;2.41;30930.6666667;"{""type"": ""Polygon"", ""coordinates"": [[[2.2844595718, 48.8856392782], [2.2812317894, 48.8886947652], [2.2768532003, 48.8927819404], [2.2744644798, 48.8950724701], [2.2712741858, 48.8981917487], [2.271063962, 48.8983982135], [2.2723489216, 48.898883569], [2.2749450296, 48.8997419808], [2.2825545668, 48.9015684646], [2.2842744091, 48.9022856207], [2.2852388849, 48.902680786], [2.2873947275, 48.9036415147], [2.292857685, 48.9004687163], [2.2990167714, 48.8970074601], [2.3037743624, 48.8941537789], [2.303743199, 48.8941383092], [2.3003093487, 48.8924770245], [2.2923938037, 48.8896371963], [2.2915068525, 48.8894718708], [2.2856699932, 48.8865737189], [2.2844595718, 48.8856392782]]]}";48.8951908357,2.28680331403;2;French Restaurant;Hotel;Supermarket;Pizza Place;Bistro;Sandwich Place;Farmers Market;Bar;Bakery;Clothing Store
39;92046;Malakoff;92;2.07;23087.2222222;"{""type"": ""Polygon"", ""coordinates"": [[[2.3001505123, 48.811347534], [2.2996772019, 48.8108986636], [2.2920048722, 48.809713941], [2.2887332423, 48.809672036], [2.2832565229, 48.8105567094], [2.2799111906, 48.8109179498], [2.2799662602, 48.8109731446], [2.2779134211, 48.8117108585], [2.2760869239, 48.8124238253], [2.2753888587, 48.8127775553], [2.2746599869, 48.8132893876], [2.2744904839, 48.8134331615], [2.2779359571, 48.8142140069], [2.2781833297, 48.8142487782], [2.2823405585, 48.8149744306], [2.2848310611, 48.8154948115], [2.286148081, 48.8158858224], [2.2864762747, 48.8159867144], [2.2884110016, 48.8166224212], [2.289029941, 48.816875234], [2.291686251, 48.8180341225], [2.292019147, 48.8181916882], [2.2923937125, 48.818389972], [2.2933506746, 48.8189280688], [2.2955546687, 48.8204142688], [2.2963951894, 48.8211081468], [2.2979922935, 48.8224630129], [2.3013154185, 48.8251257608], [2.3018660062, 48.8250021636], [2.3069590371, 48.8238679884], [2.3083155372, 48.8235700525], [2.3121472539, 48.8227287478], [2.3141456997, 48.8222905354], [2.3138064573, 48.822090725], [2.3033047307, 48.8143762188], [2.3024890742, 48.8136573472], [2.301468101, 48.8127133216], [2.3001505123, 48.811347534]]]}";48.8164012464,2.29603611202;0;French Restaurant;Bakery;Hotel;Japanese Restaurant;Park;Supermarket;Pool;Creperie;Sandwich Place;Metro Station
40;92047;Marnes-la-Coquette;92;3.48;40190.4;"{""type"": ""Polygon"", ""coordinates"": [[[2.1872152945, 48.8377300342], [2.1874251289, 48.8375542812], [2.1853023107, 48.8339000279], [2.1807966814, 48.8306242574], [2.1798018744, 48.8303862959], [2.1777967024, 48.8288255743], [2.1643457624, 48.8228916647], [2.1538916598, 48.8214726484], [2.153701083, 48.8214659034], [2.1534781566, 48.8214382428], [2.1533083295, 48.8214118571], [2.1531891261, 48.8213714394], [2.1529943732, 48.8212864157], [2.152765454, 48.8211247006], [2.1526162146, 48.8210049221], [2.1524875063, 48.8208789931], [2.1512447242, 48.8194940928], [2.1507891844, 48.8189476189], [2.1507472905, 48.81884389], [2.1503020938, 48.8187498874], [2.1512441301, 48.8207019858], [2.1514696651, 48.821406019], [2.1514671217, 48.8218970738], [2.151460731, 48.825972206], [2.1516307626, 48.8295026425], [2.1519328843, 48.8302746668], [2.1539464373, 48.8339611467], [2.1553593614, 48.8362223054], [2.1593639837, 48.8377156198], [2.1610961804, 48.8376846104], [2.1666241524, 48.8377421395], [2.1669880058, 48.8377374789], [2.1770306999, 48.8381721461], [2.1865912739, 48.8382546299], [2.1872152945, 48.8377300342]]]}";48.8309934737,2.16652545513;2;French Restaurant;Supermarket;Train Station;Hotel;Bakery;Italian Restaurant;Sandwich Place;Golf Course;Gas Station;Department Store
41;92048;Meudon;92;9.9;28076.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.2055079612, 48.8092000703], [2.2096737939, 48.8110642648], [2.2118456913, 48.8117927281], [2.220315695, 48.8155456969], [2.2218139209, 48.8203717215], [2.2253321048, 48.8230216909], [2.228970239, 48.8225586337], [2.2303034516, 48.8216525416], [2.2307839177, 48.8215827826], [2.2320651232, 48.8222619635], [2.2326383539, 48.8227378236], [2.2332080409, 48.8224365845], [2.2348675139, 48.8218464212], [2.2361072489, 48.8215485544], [2.2367084036, 48.8213284449], [2.2413665564, 48.8197355865], [2.2517342484, 48.8163949169], [2.2518651077, 48.8163867418], [2.2518664953, 48.8163849517], [2.2523667412, 48.8124604223], [2.2521179651, 48.8091068098], [2.2457196123, 48.8047548782], [2.2410673431, 48.8019273821], [2.2367830738, 48.796128595], [2.2364554312, 48.7890292247], [2.2363719433, 48.7887813515], [2.2352046131, 48.7861430873], [2.2308925331, 48.7834711127], [2.2281814143, 48.7822699905], [2.226631884, 48.7815827049], [2.2233196552, 48.785943207], [2.2115088216, 48.7881386918], [2.2111126481, 48.7907542873], [2.2069952735, 48.7949399066], [2.2045382969, 48.796262808], [2.202687874, 48.7983317225], [2.2026391702, 48.7984006524], [2.2028109965, 48.7984710534], [2.2047068227, 48.8020858271], [2.2054967756, 48.8091298424], [2.2055079612, 48.8092000703]]]}";48.8039815916,2.22696813509;2;French Restaurant;Hotel;Supermarket;Sandwich Place;Bistro;Park;Train Station;Bakery;Clothing Store;Asian Restaurant
42;92049;Montrouge;92;2.07;27477.3333333;"{""type"": ""Polygon"", ""coordinates"": [[[2.3141456997, 48.8222905354], [2.3205971644, 48.8208667673], [2.3255621713, 48.8197742431], [2.3304136366, 48.8187042612], [2.3324610425, 48.8182471301], [2.3318980606, 48.8170109296], [2.3308771587, 48.8159088699], [2.3290632573, 48.8137833468], [2.3287667513, 48.8134372169], [2.3255135677, 48.8095281473], [2.3217898452, 48.8096959526], [2.3190467534, 48.8099510763], [2.3174210943, 48.8098293815], [2.3079268903, 48.8106750884], [2.3026851018, 48.8111168103], [2.3001505123, 48.811347534], [2.301468101, 48.8127133216], [2.3024890742, 48.8136573472], [2.3033047307, 48.8143762188], [2.3138064573, 48.822090725], [2.3141456997, 48.8222905354]]]}";48.8152248222,2.31722185184;2;French Restaurant;Bakery;Hotel;Supermarket;Japanese Restaurant;Italian Restaurant;Park;Sushi Restaurant;Sandwich Place;Clothing Store
43;92050;Nanterre;92;12.19;19502.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.1742824948, 48.8990668785], [2.1765183809, 48.9003494358], [2.1804096155, 48.9017709934], [2.1820799895, 48.9023364008], [2.1836008264, 48.9027838521], [2.1978196335, 48.9075573306], [2.2005910093, 48.9086793299], [2.2061503531, 48.9109322335], [2.2072540722, 48.9114737397], [2.2084888458, 48.9121914688], [2.2099759905, 48.9131842423], [2.211625004, 48.914303966], [2.2122197716, 48.9147638329], [2.213892624, 48.9162991643], [2.215004802, 48.9171068481], [2.2180518858, 48.9190998708], [2.2203278433, 48.9205688923], [2.2203981368, 48.920613416], [2.2239863989, 48.918098849], [2.2257680349, 48.9130867972], [2.2279486083, 48.9079216874], [2.2290994842, 48.9060270323], [2.2318975767, 48.9009404385], [2.2316290145, 48.9006518304], [2.2305710378, 48.9003365688], [2.2321656018, 48.8977513395], [2.2337839379, 48.8956716603], [2.2342514215, 48.895046917], [2.2292030742, 48.8896347097], [2.2244922983, 48.8854331579], [2.2224510182, 48.8831373889], [2.2236156896, 48.8827636258], [2.2202350355, 48.8805913228], [2.2100999234, 48.8755316976], [2.2077596044, 48.87422926], [2.2056465216, 48.8757351602], [2.203019128, 48.8775181959], [2.1992552436, 48.8799527984], [2.1888907002, 48.885910448], [2.1857832638, 48.8875360557], [2.1816044842, 48.8896309156], [2.1802396219, 48.8903032806], [2.1772236649, 48.8915434723], [2.1762272688, 48.8919368286], [2.172912146, 48.8937953974], [2.1693486998, 48.8958149311], [2.169848116, 48.8962302912], [2.1716562706, 48.8974623135], [2.1742824948, 48.8990668785]]]}";48.8963161116,2.20694242609;2;Hotel;Japanese Restaurant;French Restaurant;Plaza;Supermarket;Park;Sandwich Place;Burger Joint;Gas Station;Furniture / Home Store
44;92051;Neuilly-sur-Seine;92;3.73;43848.6666667;"{""type"": ""Polygon"", ""coordinates"": [[[2.2844595718, 48.8856392782], [2.2845120554, 48.8855910278], [2.2828036254, 48.8842830661], [2.2823272111, 48.883923175], [2.2799904377, 48.8787559373], [2.2799493326, 48.878573124], [2.2794699495, 48.878531568], [2.2774870298, 48.8779683209], [2.2584671711, 48.8803872631], [2.2554103367, 48.8742635427], [2.2548171407, 48.8740808814], [2.2462497956, 48.8762279424], [2.2457037884, 48.8764592325], [2.2463358249, 48.8771611054], [2.2524760177, 48.8854915296], [2.2537610153, 48.8868917191], [2.2538962152, 48.8870688315], [2.2543527629, 48.88766164], [2.2554026276, 48.8885360318], [2.2633446985, 48.894843604], [2.2644298149, 48.8955607436], [2.2679137058, 48.8971864916], [2.271063962, 48.8983982135], [2.2712741858, 48.8981917487], [2.2744644798, 48.8950724701], [2.2768532003, 48.8927819404], [2.2812317894, 48.8886947652], [2.2844595718, 48.8856392782]]]}";48.8855642403,2.26624582624;0;French Restaurant;Hotel;Italian Restaurant;Plaza;Japanese Restaurant;Bakery;Café;Bar;Sandwich Place;Bistro
45;92060;Le Plessis-Robinson;92;3.43;27545.2777778;"{""type"": ""Polygon"", ""coordinates"": [[[2.2374555045, 48.7762970976], [2.2376939597, 48.7762761337], [2.2391443347, 48.7762961726], [2.2433603692, 48.7796670109], [2.2506170483, 48.7845840105], [2.2587384276, 48.7862194421], [2.2694693181, 48.7895297162], [2.2712074919, 48.7902166877], [2.2717219006, 48.7905184286], [2.2719874197, 48.7897321612], [2.2722826233, 48.7889640618], [2.2738478656, 48.7868203866], [2.2756117782, 48.785945169], [2.2819049065, 48.78321835], [2.2819845943, 48.7831639645], [2.2817932913, 48.7826258628], [2.2795808136, 48.7824893231], [2.2795781166, 48.782487508], [2.2789756453, 48.7827501015], [2.2763318475, 48.7813292269], [2.2750616575, 48.7794966043], [2.2723861917, 48.7773406168], [2.2696518121, 48.7763957277], [2.259916316, 48.7732273996], [2.2592291427, 48.7731304995], [2.2548888269, 48.7729029342], [2.2507220564, 48.7728166103], [2.2438118036, 48.7731202474], [2.2398057358, 48.7743324357], [2.2371658076, 48.7758203506], [2.2374555045, 48.7762970976]]]}";48.7802898374,2.25979241613;2;Supermarket;Hotel;Park;Italian Restaurant;Sandwich Place;French Restaurant;Pool;Clothing Store;Forest;Bakery
46;92062;Puteaux;92;3.19;26975.7;"{""type"": ""Polygon"", ""coordinates"": [[[2.2236156896, 48.8827636258], [2.2224510182, 48.8831373889], [2.2244922983, 48.8854331579], [2.2292030742, 48.8896347097], [2.2342514215, 48.895046917], [2.2337839379, 48.8956716603], [2.2350738246, 48.8955153287], [2.2411672996, 48.8908865594], [2.2512915142, 48.887634443], [2.2537610153, 48.8868917191], [2.2524760177, 48.8854915296], [2.2463358249, 48.8771611054], [2.2457037884, 48.8764592325], [2.2456782365, 48.8764347891], [2.2335971782, 48.8699061171], [2.2317363597, 48.8690685816], [2.2341869227, 48.8713353645], [2.2341637893, 48.8777304846], [2.2302789209, 48.8800537598], [2.2266247473, 48.8811435981], [2.2264355342, 48.8812134238], [2.2257385625, 48.8815920389], [2.2236156896, 48.8827636258]]]}";48.8836186061,2.23810959636;0;French Restaurant;Hotel;Plaza;Brasserie;Bakery;Sandwich Place;Gas Station;Park;Clothing Store;Gym / Fitness Center
47;92063;Rueil-Malmaison;92;14.7;30197.1428571;"{""type"": ""Polygon"", ""coordinates"": [[[2.1693486998, 48.8958149311], [2.172912146, 48.8937953974], [2.1762272688, 48.8919368286], [2.1772236649, 48.8915434723], [2.1802396219, 48.8903032806], [2.1816044842, 48.8896309156], [2.1857832638, 48.8875360557], [2.1888907002, 48.885910448], [2.1992552436, 48.8799527984], [2.203019128, 48.8775181959], [2.2056465216, 48.8757351602], [2.2077596044, 48.87422926], [2.2067982433, 48.8737021686], [2.2092266463, 48.8716245421], [2.2109637812, 48.8699892882], [2.2115276931, 48.8692114646], [2.211237554, 48.8679351654], [2.2092889406, 48.866084021], [2.2071953207, 48.8646338942], [2.2045700989, 48.8651542921], [2.2035355436, 48.8654154209], [2.2021078512, 48.866155977], [2.1997854961, 48.8614170267], [2.2035582947, 48.8606282714], [2.2025421426, 48.8584459418], [2.2018232358, 48.8575067078], [2.1986941022, 48.8551852129], [2.1978610547, 48.8547623243], [2.1952775161, 48.8556101699], [2.1930147894, 48.8549231026], [2.1886052771, 48.8521537991], [2.1845152348, 48.851641231], [2.182612611, 48.8515616945], [2.1774365857, 48.8516485369], [2.1710450758, 48.8497535112], [2.1647805677, 48.8485506461], [2.1601259028, 48.8476744438], [2.1600334361, 48.8476621027], [2.1598730726, 48.8477194364], [2.159842197, 48.847774981], [2.1543056854, 48.8530485959], [2.1532608791, 48.8573779869], [2.1532158189, 48.8618277517], [2.1549412046, 48.8637789838], [2.1540287625, 48.8643130567], [2.1537588035, 48.8644001854], [2.1540969334, 48.8648999252], [2.1545912958, 48.8677849824], [2.1544048563, 48.8688566053], [2.1521364368, 48.8695213751], [2.1492975905, 48.8700498427], [2.1503913622, 48.870861641], [2.1515479366, 48.8719211977], [2.1528705339, 48.8733380633], [2.1565990082, 48.8785006169], [2.1575881635, 48.8798970831], [2.1579655664, 48.8803377231], [2.1581376286, 48.8804909237], [2.1583184829, 48.8806064132], [2.1587924464, 48.8808103], [2.1631701951, 48.8860338249], [2.164892634, 48.8902826677], [2.1677833601, 48.8944172818], [2.1683811579, 48.895076154], [2.1693486998, 48.8958149311]]]}";48.8695044166,2.17789004853;2;French Restaurant;Supermarket;Hotel;Italian Restaurant;Plaza;Park;Gas Station;Japanese Restaurant;Bistro;Movie Theater
48;92064;Saint-Cloud;92;7.56;36616.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.2256702923, 48.8594045624], [2.2245175869, 48.8565380225], [2.2243147794, 48.8556958021], [2.2242191059, 48.8535169176], [2.2247783896, 48.8516507574], [2.2234122186, 48.8408107515], [2.2230399042, 48.8396454386], [2.2229709755, 48.8386026111], [2.2229746803, 48.8370745892], [2.2231171536, 48.8364738292], [2.2232948998, 48.8360657652], [2.2240496902, 48.8351496977], [2.2226752406, 48.8353188508], [2.2221640748, 48.8343325031], [2.2223045293, 48.8320408881], [2.2224420187, 48.8315911904], [2.2216577122, 48.8291937228], [2.2211803346, 48.8278658176], [2.218135737, 48.8274169431], [2.2140717364, 48.8276367368], [2.2094835605, 48.8281056572], [2.2069300735, 48.8288685213], [2.2038507159, 48.8293616123], [2.200588735, 48.8298561018], [2.1994332651, 48.8297854155], [2.1992591493, 48.8297689603], [2.1866970969, 48.8287659148], [2.1847897257, 48.8288689498], [2.1807966814, 48.8306242574], [2.1853023107, 48.8339000279], [2.1874251289, 48.8375542812], [2.1872152945, 48.8377300342], [2.1881601117, 48.8383894028], [2.1938597835, 48.8405648815], [2.1964221479, 48.8427226453], [2.2012514987, 48.8491918188], [2.2012813232, 48.8517804101], [2.1992935678, 48.8541351657], [2.1978610547, 48.8547623243], [2.1986941022, 48.8551852129], [2.2018232358, 48.8575067078], [2.2025421426, 48.8584459418], [2.2035582947, 48.8606282714], [2.2052655498, 48.860314052], [2.2057087846, 48.8602981081], [2.2142751982, 48.8602314473], [2.2214952628, 48.8599575628], [2.2256702923, 48.8594045624]]]}";48.8426287239,2.20839539221;0;French Restaurant;Italian Restaurant;Japanese Restaurant;Park;Sandwich Place;Supermarket;Bistro;Moroccan Restaurant;Bagel Shop;Bakery
49;92071;Sceaux;92;3.6;33503.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.3096979141, 48.784897662], [2.3104739468, 48.7848805568], [2.3142751147, 48.7768238827], [2.3124381271, 48.7721633206], [2.3118312824, 48.770715353], [2.3067082959, 48.76927903], [2.3054409626, 48.7690144321], [2.2902548978, 48.7666001446], [2.2862826208, 48.7713290503], [2.2804649297, 48.7800608242], [2.2799343816, 48.7820174612], [2.2795781166, 48.782487508], [2.2795808136, 48.7824893231], [2.2817932913, 48.7826258628], [2.2819845943, 48.7831639645], [2.2822480789, 48.7831052866], [2.2843641127, 48.7826349922], [2.2849107817, 48.7825690101], [2.2856523773, 48.7824808062], [2.2862663249, 48.7824709839], [2.2864337641, 48.7824683863], [2.2874711067, 48.7825492285], [2.2880077157, 48.7826216824], [2.2900747501, 48.783146649], [2.291443788, 48.783558613], [2.2913598782, 48.7838243423], [2.2926982076, 48.7840940018], [2.2929563713, 48.7841261099], [2.3033091819, 48.7853993312], [2.3036097602, 48.7853138403], [2.3037409174, 48.7852768293], [2.3063502135, 48.7849610211], [2.3096979141, 48.784897662]]]}";48.7766191733,2.29807277751;2;Supermarket;Park;Japanese Restaurant;Italian Restaurant;Train Station;Bus Stop;French Restaurant;Café;Gas Station;Bakery
50;92072;Sèvres;92;3.91;30755.0;"{""type"": ""Polygon"", ""coordinates"": [[[2.2055079612, 48.8092000703], [2.2054673794, 48.8092717529], [2.2039497738, 48.8103850128], [2.1992397751, 48.8171953051], [2.19704793, 48.8190855314], [2.1935361224, 48.8180698604], [2.1897735373, 48.8157599468], [2.1801074169, 48.814770366], [2.1785222083, 48.8148566203], [2.1792160942, 48.8154181162], [2.183222169, 48.817542055], [2.1899464268, 48.8200602472], [2.1963481868, 48.8219813841], [2.1985480896, 48.8271082989], [2.1994332651, 48.8297854155], [2.200588735, 48.8298561018], [2.2038507159, 48.8293616123], [2.2069300735, 48.8288685213], [2.2094835605, 48.8281056572], [2.2140717364, 48.8276367368], [2.218135737, 48.8274169431], [2.2211803346, 48.8278658176], [2.2216577122, 48.8291937228], [2.2224420187, 48.8315911904], [2.2223045293, 48.8320408881], [2.2221640748, 48.8343325031], [2.2226752406, 48.8353188508], [2.2240496902, 48.8351496977], [2.2254215932, 48.8335010286], [2.2259907172, 48.8326062293], [2.2262857179, 48.8316386023], [2.2267020663, 48.8294692801], [2.2269852154, 48.828380155], [2.2272954096, 48.827395532], [2.2283210587, 48.82583632], [2.2288664109, 48.8253424759], [2.230146439, 48.8243533005], [2.2314886443, 48.823393291], [2.2326383539, 48.8227378236], [2.2320651232, 48.8222619635], [2.2307839177, 48.8215827826], [2.2303034516, 48.8216525416], [2.228970239, 48.8225586337], [2.2253321048, 48.8230216909], [2.2218139209, 48.8203717215], [2.220315695, 48.8155456969], [2.2118456913, 48.8117927281], [2.2096737939, 48.8110642648], [2.2055079612, 48.8092000703]]]}";48.8212450479,2.20940635472;0;French Restaurant;Train Station;Park;Bakery;Japanese Restaurant;Italian Restaurant;Bistro;Supermarket;Burger Joint;Sandwich Place
51;92073;Suresnes;92;3.79;28370.7407407;"{""type"": ""Polygon"", ""coordinates"": [[[2.2236156896, 48.8827636258], [2.2257385625, 48.8815920389], [2.2264355342, 48.8812134238], [2.2266247473, 48.8811435981], [2.2302789209, 48.8800537598], [2.2341637893, 48.8777304846], [2.2341869227, 48.8713353645], [2.2317363597, 48.8690685816], [2.2306589827, 48.8680795669], [2.2293118434, 48.8666220392], [2.2282248678, 48.8651832596], [2.2272091184, 48.8625307936], [2.2263279931, 48.8607326761], [2.2256702923, 48.8594045624], [2.2214952628, 48.8599575628], [2.2142751982, 48.8602314473], [2.2057087846, 48.8602981081], [2.2052655498, 48.860314052], [2.2035582947, 48.8606282714], [2.1997854961, 48.8614170267], [2.2021078512, 48.866155977], [2.2035355436, 48.8654154209], [2.2045700989, 48.8651542921], [2.2071953207, 48.8646338942], [2.2092889406, 48.866084021], [2.211237554, 48.8679351654], [2.2115276931, 48.8692114646], [2.2109637812, 48.8699892882], [2.2092266463, 48.8716245421], [2.2067982433, 48.8737021686], [2.2077596044, 48.87422926], [2.2100999234, 48.8755316976], [2.2202350355, 48.8805913228], [2.2236156896, 48.8827636258]]]}";48.8699520558,2.21968010803;0;French Restaurant;Park;Movie Theater;Racecourse;Market;Hotel;Restaurant;Moroccan Restaurant;Bakery;Italian Restaurant
